iter	Passed	Remaining
595	1486	1007
596	1488	1005
597	1506	1012
598	1514	1013
599	1516	1011
600	1519	1008
601	1522	1006
602	1527	1005
603	1529	1002
604	1531	999
605	1533	997
606	1535	994
607	1538	991
608	1546	993
609	1548	990
610	1550	987
611	1552	984
612	1556	982
613	1557	979
614	1560	977
615	1562	974
616	1566	972
617	1568	969
618	1569	966
619	1571	963
620	1574	960
621	1576	958
622	1578	954
623	1582	953
624	1584	950
625	1585	947
626	1587	944
627	1589	941
628	1590	938
629	1592	935
630	1594	932
631	1598	931
632	1601	928
633	1603	925
634	1604	922
635	1606	919
636	1608	916
637	1612	914
638	1614	912
639	1616	909
640	1619	906
641	1621	904
642	1623	901
643	1626	899
644	1628	896
645	1629	893
646	1631	890
647	1635	888
648	1638	886
649	1640	883
650	1642	880
651	1644	877
652	1645	874
653	1653	874
654	1655	871
655	1657	869
656	1659	866
657	1660	863
658	1661	859
659	1663	856
660	1668	855
661	1670	853
662	1672	850
663	1673	847
664	1675	844
665	1677	841
666	1678	838
667	1682	836
668	1684	833
669	1686	830
670	1688	827
671	1689	824
672	1691	821
673	1693	818
674	1697	817
675	1699	814
676	1701	811
677	1703	808
678	1704	805
679	1706	803
680	1708	800
681	1713	798
682	1715	796
683	1717	793
684	1719	790
685	1721	787
686	1723	785
687	1727	783
688	1729	780
689	1731	777
690	1733	775
691	1735	772
692	1737	769
693	1739	766
694	1743	765
695	1747	763
696	1749	760
697	1751	757
698	1753	754
699	1754	752
700	1757	749
701	1759	747
702	1761	744
703	1763	741
704	1765	738
705	1767	735
706	1768	733
707	1772	731
708	1775	728
709	1777	726
710	1779	723
711	1782	720
712	1783	718
713	1785	715
714	1788	713
715	1790	710
716	1792	707
717	1793	704
718	1795	701
719	1796	698
720	1798	695
721	1799	693
722	1803	690
723	1805	688
724	1806	685
725	1808	682
726	1810	679
727	1812	677
728	1813	674
729	1815	671
730	1819	669
731	1821	667
732	1823	664
733	1826	661
734	1827	659
735	1829	656
736	1834	654
737	1836	651
738	1838	649
739	1839	646
740	1841	643
741	1843	640
742	1844	638
743	1846	635
744	1850	633
745	1851	630
746	1853	627
747	1855	625
748	1857	622
749	1858	619
750	1860	616
751	1862	614
752	1865	611
753	1867	609
754	1869	606
755	1871	603
756	1872	601
757	1874	598
758	1876	595
759	1880	593
760	1882	591
761	1884	588
762	1886	585
763	1887	583
764	1889	580
765	1891	577
766	1892	574
767	1894	572
768	1896	569
769	1898	566
770	1899	564
771	1901	561
772	1903	558
773	1904	556
774	1908	554
775	1910	551
776	1911	548
777	1913	545
778	1914	543
779	1916	540
780	1919	538
781	1921	535
782	1926	533
783	1928	531
784	1930	528
785	1932	526
